Status	Age	3275.94cm	2922.99cm	2853.55cm	1635.56cm	1540.09cm	1457.15cm	1379.04cm	1155.31	1076.23cm	1028.97cm	525.57cm
SF	3	0.0569	0.07338	0.05896	0.08664	0.07525	0.0642	0.06949	0.08156	0.12082	0.1514	0.14806
SF	3	0.10041	0.14001	0.10845	0.12881	0.11161	0.09569	0.10016	0.11597	0.17005	0.21278	0.20476
SF	3	0.08107	0.12563	0.09662	0.13231	0.11959	0.09934	0.10137	0.11274	0.15723	0.18684	0.19068
SF	3	0.09213	0.15832	0.11821	0.14668	0.13043	0.11401	0.11465	0.13994	0.18063	0.21388	0.22171
SF	3	0.05952	0.10844	0.0841	0.10879	0.09964	0.086	0.08698	0.10103	0.13147	0.1534	0.15956
SF	3	0.09357	0.11556	0.09112	0.11984	0.10665	0.09075	0.09533	0.09947	0.15572	0.18984	0.17936
SF	3	0.09233	0.13807	0.1058	0.15597	0.14208	0.11414	0.11648	0.12679	0.17236	0.2005	0.21089
SF	3	0.08691	0.13864	0.10464	0.13606	0.1208	0.10599	0.10863	0.13168	0.17011	0.20214	0.20898
SF	3	0.09288	0.11841	0.0922	0.12627	0.11278	0.09521	0.09795	0.10919	0.1573	0.19084	0.18477
SF	3	0.09372	0.13511	0.1031	0.15362	0.13829	0.1088	0.11336	0.12348	0.1706	0.20029	0.21303
SF	3	0.11052	0.14178	0.10708	0.18169	0.16256	0.12592	0.13097	0.14016	0.19426	0.23536	0.24823
SF	3	0.10996	0.13877	0.1066	0.16173	0.14359	0.11668	0.12332	0.13174	0.19329	0.2364	0.23787
SF	3	0.10636	0.13137	0.10204	0.13818	0.12245	0.10054	0.10648	0.11659	0.17612	0.21778	0.20677
SF	3	0.09541	0.14014	0.10707	0.1246	0.10967	0.09899	0.10284	0.12146	0.1804	0.21851	0.20605
SF	3	0.10522	0.16831	0.1245	0.14865	0.12942	0.11215	0.11614	0.14443	0.19378	0.2322	0.23039
