Species	Status	Real age	Age	time stored	3856	3400	3276	2923	2854	1901	1746	1636	1539	1457	1307	1154	1076	1027	880	526	401
AR	BF	1	AR	1	14	0.01294	0.07425	0.10323	0.10304	0.08065	0.01378	0.03486	0.15751	0.14881	0.10759	0.10014	0.11193	0.15414	0.18835	0.08318	0.20532	0.18814
AR	BF	1	AR	1	14	0.01881	0.06276	0.09834	0.09193	0.07205	0.01763	0.02894	0.18798	0.1755	0.11371	0.10348	0.09785	0.1122	0.10956	0.06662	0.17637	0.1646
AR	BF	1	AR	1	14	0.00699	0.06425	0.08962	0.14577	0.1107	0.01122	0.08188	0.13259	0.12158	0.11036	0.10073	0.14013	0.18566	0.22701	0.0981	0.2211	0.19577
AR	BF	1	AR	1	14	0.01463	0.07419	0.10755	0.12298	0.09531	0.01714	0.04956	0.19477	0.18516	0.12926	0.11792	0.12764	0.16915	0.18991	0.092	0.2298	0.21039
AR	BF	1	AR	1	14	0.00952	0.05348	0.07629	0.10646	0.08271	0.01246	0.04894	0.14339	0.13438	0.10464	0.09543	0.1132	0.14859	0.17713	0.07993	0.19353	0.1723
AR	BF	1	AR	1	14	0.01356	0.09423	0.13229	0.14187	0.11051	0.01732	0.04945	0.19184	0.17875	0.13297	0.12484	0.13871	0.20964	0.25788	0.10847	0.27353	0.24767
AR	BF	1	AR	1	14	0.0137	0.06426	0.09497	0.10317	0.08047	0.01491	0.03942	0.1593	0.14908	0.10063	0.09486	0.10132	0.1431	0.15953	0.07595	0.19041	0.16686
AR	BF	1	AR	1	14	0.01073	0.08299	0.1289	0.12939	0.09825	0.01333	0.03897	0.25867	0.24667	0.157	0.14093	0.13362	0.18122	0.17767	0.09687	0.27238	0.2441
AR	BF	1	AR	1	14	0.01499	0.09236	0.13815	0.13379	0.10166	0.01595	0.035	0.24791	0.23804	0.15743	0.14199	0.13331	0.18822	0.19388	0.10164	0.28559	0.2523
AR	BF	1	AR	1	14	0.00654	0.03112	0.04899	0.04939	0.03985	0.00954	0.01569	0.13634	0.12888	0.08588	0.07811	0.07506	0.1027	0.09307	0.0572	0.14606	0.12788
AR	BF	1	AR	1	14	0.01556	0.03984	0.06064	0.06237	0.04971	0.01405	0.02191	0.13807	0.12819	0.08661	0.0787	0.0762	0.08254	0.07888	0.05077	0.1329	0.12482
AR	BF	1	AR	1	14	0.01171	0.0648	0.08819	0.08644	0.07006	0.01369	0.03295	0.12446	0.116	0.08972	0.08606	0.09926	0.14735	0.18288	0.07917	0.18695	0.16825
AR	BF	1	AR	1	14	0.01827	0.07196	0.11199	0.08993	0.0706	0.01566	0.02265	0.21031	0.19166	0.12146	0.11148	0.10505	0.13566	0.13703	0.07173	0.20822	0.18654
AR	BF	1	AR	1	14	0.01302	0.08495	0.11805	0.11158	0.08762	0.01586	0.04225	0.18274	0.16914	0.11929	0.1133	0.12603	0.18589	0.21993	0.09694	0.25955	0.23148
AR	BF	1	AR	1	14	0.00342	0.01976	0.0273	0.03598	0.02913	0.00499	0.01902	0.07406	0.07262	0.05667	0.05287	0.05851	0.07531	0.08133	0.04332	0.10792	0.10019
AR	BF	1	AR	1	14	0.02009	0.08672	0.12037	0.12434	0.09558	0.01718	0.04481	0.20003	0.18345	0.13327	0.12217	0.13987	0.17968	0.20234	0.09062	0.24999	0.22207
AR	BF	1	AR	1	14	0.00826	0.04754	0.06321	0.06376	0.05141	0.00965	0.02933	0.09819	0.09111	0.0716	0.06871	0.08196	0.11716	0.14635	0.0638	0.14892	0.13933
AR	BF	1	AR	1	14	0.01722	0.08069	0.12078	0.12744	0.09733	0.01555	0.04551	0.22878	0.21229	0.13757	0.12596	0.13422	0.17498	0.18246	0.08793	0.25252	0.22551
AR	BF	1	AR	1	14	0.01749	0.06006	0.08695	0.08081	0.06409	0.01704	0.02387	0.15882	0.1439	0.09964	0.09149	0.09218	0.11645	0.12676	0.06588	0.17029	0.15893
AR	SF	1	AR	1	5	0.0072	0.02477	0.03524	0.04025	0.03387	0.00939	0.01477	0.07648	0.07285	0.05629	0.05317	0.05455	0.08115	0.09484	0.04849	0.11197	0.09843
AR	SF	1	AR	1	5	0.01439	0.07426	0.10228	0.09866	0.08114	0.0176	0.02988	0.14361	0.13244	0.10153	0.09877	0.10158	0.16597	0.20719	0.09369	0.22001	0.19735
AR	SF	1	AR	1	5	0.01096	0.08413	0.11684	0.11897	0.09435	0.01393	0.03795	0.14844	0.13832	0.108	0.10318	0.10753	0.16322	0.20131	0.08917	0.20257	0.18584
AR	SF	1	AR	1	5	0.012	0.07188	0.10198	0.09543	0.07689	0.01351	0.02236	0.14481	0.1376	0.09739	0.09188	0.08903	0.14305	0.17101	0.07974	0.18802	0.16258
AR	SF	1	AR	1	5	0.01311	0.04752	0.06942	0.06534	0.05449	0.0132	0.01569	0.13169	0.12969	0.09164	0.08378	0.07771	0.1119	0.10905	0.06827	0.16877	0.15065
AR	SF	1	AR	1	5	0.0133	0.06155	0.08799	0.08703	0.07084	0.01237	0.0183	0.13207	0.12714	0.09269	0.08391	0.07834	0.12049	0.13357	0.07142	0.16384	0.14044
AR	SF	1	AR	1	5	0.01318	0.04365	0.06133	0.06019	0.05036	0.01271	0.01681	0.10107	0.09768	0.06957	0.06604	0.06447	0.10449	0.12152	0.06147	0.15132	0.13425
AR	SF	1	AR	1	5	0.01163	0.04136	0.05795	0.05508	0.0449	0.01056	0.01509	0.09087	0.08842	0.06351	0.06025	0.06081	0.08672	0.10109	0.05408	0.1309	0.11954
